TeamID,Month,MerchUnits,AvgUnitPriceJPY,MerchRevenueJPY
1,2024-01,1266,3238,4099308
1,2024-02,4244,5171,21945724
1,2024-03,3719,5735,21328465
1,2024-04,930,3685,3427050
1,2024-05,1569,4391,6889479
1,2024-06,3233,3215,10394095
1,2024-07,1984,2459,4878656
1,2024-08,4185,2021,8457885
1,2024-09,3704,5632,20860928
1,2024-10,1274,3082,3926468
1,2024-11,3358,5753,19318574
1,2024-12,2847,5547,15792309
2,2024-01,3547,2975,10552325
2,2024-02,2606,2189,5704534
2,2024-03,3534,5005,17687670
2,2024-04,2699,5638,15216962
2,2024-05,2067,4879,10084893
2,2024-06,2328,5202,12110256
2,2024-07,4356,5890,25656840
2,2024-08,1446,4068,5882328
2,2024-09,3688,4214,15541232
2,2024-10,3235,2600,8411000
2,2024-11,3163,4061,12844943
2,2024-12,1041,4041,4206681
3,2024-01,3624,5417,19631208
3,2024-02,3412,4945,16872340
3,2024-03,2163,4139,8952657
3,2024-04,2278,5499,12526722
3,2024-05,3356,2775,9312900
3,2024-06,4814,2034,9791676
3,2024-07,3952,3955,15630160
3,2024-08,2385,5943,14174055
3,2024-09,3873,3021,11700333
3,2024-10,4261,4613,19655993
3,2024-11,4643,5893,27361199
3,2024-12,2300,2702,6214600
4,2024-01,961,2201,2115161
4,2024-02,2781,2995,8329095
4,2024-03,4142,2455,10168610
4,2024-04,4598,3275,15058450
4,2024-05,1816,5773,10483768
4,2024-06,1137,2878,3272286
4,2024-07,1876,2791,5235916
4,2024-08,4793,4264,20437352
4,2024-09,1179,2492,2938068
4,2024-10,2862,5884,16840008
4,2024-11,864,5928,5121792
4,2024-12,3368,3367,11340056
5,2024-01,2827,4695,13272765
5,2024-02,2295,5134,11782530
5,2024-03,1191,3698,4404318
5,2024-04,4361,4278,18656358
5,2024-05,3899,4182,16305618
5,2024-06,1000,3863,3863000
5,2024-07,3904,5119,19984576
5,2024-08,3254,5645,18368830
5,2024-09,1604,4146,6650184
5,2024-10,3531,3895,13753245
5,2024-11,3573,3570,12755610
5,2024-12,3490,5840,20381600
6,2024-01,1828,5289,9668292
6,2024-02,1302,4814,6267828
6,2024-03,1670,4842,8086140
6,2024-04,1006,3038,3056228
6,2024-05,2284,5762,13160408
6,2024-06,1663,4790,7965770
6,2024-07,1363,3020,4116260
6,2024-08,4991,3923,19579693
6,2024-09,2557,4532,11588324
6,2024-10,2478,5242,12989676
6,2024-11,1859,4572,8499348
6,2024-12,2522,5314,13401908
